valence,arousal,artist_name,track_name,lyrics
-0.68272508,0.316757792,Dark Tranquillity,Insanity's Crescendo,"Insanity's crescendo
Gently, hold our heads on high
Gently, hold our heads
Each soul to violate"
-1.400402676,1.538228949,Anorexia Nervosa,Stabat mater dolorosa,"Stabat Mater Dolorosa, fulget crucis mysterium
Mother of suffering
Stabat Mater Dolorosa, vexilla regis prodeunt
We are the Sun"
-1.935249857,-0.655809809,Jimmy Witherspoon,Ain't Nobody's Business,"Ain't nobody's business what I do
Ain't nobody's business if we do
Ain't nobody's business, if I do
Baby oh baby you know our love is true"
0.815392789,0.662457176,Uniting Nations,Out Of Touch,"I'm out of time
But I'm out of my head when you're not around

You're out of touch..."
1.257460357,1.086515087,The Walkmen,Brandy alexander,"I'll tell you of every dream
Watch out it's on you
Those colors are fading
There's worse ways to see it baby"
0.373325221,-0.923150666,Duke Ellington,Caravan,"That shines upon our Caravan
Night and stars above that shine so bright
Resting in my arms
The mystery of their fading light"
1.071901131,0.846830181,Ella Fitzgerald,Lullaby Of Birdland,"That's how I'd cry in my pillow
Lullaby by birdland whisper low
Kiss me sweet, and we'll go
That's the kind of magic music we made with our lips"
-1.056572345,0.736206378,cLOUDDEAD,Pop Song,"Cotton cotton candy,
The wood man and his splintering self,
The wood woman and her hollowing out
So maybe this thing isn't gonna turn out all right"
-1.048385908,0.335195092,cLOUDDEAD,Son Of A Gun,"They dress their boys in bright orange
The makers of guns will never go hungry.
The makers of guns will never fill up.
Stripping meat, stretching skin for their musical men."
1.541256821,1.704164653,Boney M,Rasputin,"Ra Ra Rasputin
Russia's greatest love machine
Lover of the Russian queen
There was a cat that really was gone"
-0.981530011,0.62097325,Leona Lewis,Better in time,"It'll all get better in time
Thought I couldn't live without you
And even though I really love you
I'm gonna smile cause I deserve to"
0.007664393,0.791518279,Leona Lewis,I Will Be,"And make everything okay
I will be all that you want
To get you through the day
And get myself together"
-0.569752258,0.031901499,Leona Lewis,Bleeding Love,"Keep bleeding, keep, keep bleeding love
They try to pull me away, but they don't know the truth
My heart's crippled by the vein that I keep on closing
Ooh, you cut me open and I"
-1.703300824,-0.628153858,Mario,How Do I Breathe,"Where do I go, when your heart's where I lay my head?
When you're not with me, how do I breathe?
How will I see, when your love brought me to the light?
How do I breathe?"
-1.056572345,0.736206378,Great Lake Swimmers,The Man With No Skin,"They would not let him in
And the man with no skin
Would not let him sign up
And a mask"
0.449731961,-2.075481946,Great Lake Swimmers,I Will Never See the Sun,"Spadina, St. George, Bay, and Yonge
Spadina, St. George, Bay and Yonge
I will never see the sun
One for nothing, all for one"
0.957291021,0.390506994,Great Lake Swimmers,Bodies and Minds,"Yeah, yeah, yeah, yeah

No sudden moves
Singing sorry to you, and sorry to you"
0.766274171,-2.112356547,Great Lake Swimmers,Falling Into the Sky,"Fur and feathers, and leather, and scales
Breathing this poison, alive but near death
But we were made to drink in the earth
Do you think you could fly if you tried"
0.13500896,-1.503925631,Great Lake Swimmers,Long Into The Evening,"Piercing into me and I miss your warmth
Our able bodies and able minds
On the daylight of the strings
Of self-doubt and illusion"
-1.727860133,-1.10752367,MORS PRINCIPIUM EST,Fragile Flesh,"Yet the warmth of the sun won't let the tears go dry

My heart is burned to six feet under
My soul is black as the moonless night"
-1.935249857,-0.655809809,Charley Pride,I Can't Believe That You've Stopped Loving Me,"And surprise you with a gift when I come home
And the good times always outweight the bad
For every tear we lost I've found the thousands smiles
How can anything so real become a dream I can't believe that you've stopped loving me"
-1.056572345,0.736206378,Kris Kristofferson,Me and Bobby McGee,"Feelin' good was easy, Lord, when Bobby sang the blues,
Freedom's just another word for nothin' left to lose,
Took us all the way to New Orleans.
Took my harpoon out of my dirty red bandana"
-1.48226704,-0.44070797,Kris Kristofferson,Sunday Mornin' Comin' Down,"'Cause there's something in a Sunday, makes a body feel alone
On the sleepin' city sidewalks, Sunday mornin' comin' down
On the Sunday morning sidewalks, wishin', Lord, that I was stoned
And there's nothin' short of dyin', half as lonesome as the sound"
-1.744233006,1.335418644,Diamond Rio,You're Gone,"Lay beside me for a moment that lives on
And the good news is I'm better
For the time we spent together
And I thank God that he let you"
-1.171182455,-0.563623306,Savage Garden,Gunning Down Romance,"And learn to fly away
Love don't leave me
Love come quickly
The world of two"
-1.935249857,-0.655809809,Oasis,Don't Go Away,"Just to make things right

So don't go away
Say what you say"
-1.700572012,1.842444407,Savage Garden,Break Me Shake Me,"When the madness stops, then you will be alone
You confused me in a way that I've never known
You abused me in a way that I've never known 
When the madness stops, then you will be alone "
0.01585083,0.390506994,Savage Garden,I Knew I Loved You,"I knew I loved you before I met you
I think I dreamed you into life
I have been waiting all my life
(I knew I loved you)"
1.071901131,0.846830181,Savage Garden,Crash And Burn,"When you feel all alone
Lift you up and fly away with you into the night
Let me be the one you call
If you need to crash then crash and burn"
1.213799363,1.267815208,Savage Garden,The Animal Song,"'Cause I want to live like animals
Careless and free like animals
The wind in my hair and the sand at my feet
I want to live"
-0.779792827,0.180453463,Savage Garden,Two Beds And A Coffee Machine,"You keep moving on
And the years go by so fast
Another ditch in the road
Another stop sign"
-0.431674363,0.095510186,Savage Garden,I Don't Care,"People tell me that I feel too much
I ride this train

But I don't care, no I don't care"
-1.487724664,-0.360813001,Rory Gallagher,Moonchild,"
Just give me a sign and I'll show you my plan
You are a moonchild and pretty soon child
I've got that feeling"
-1.51828736,0.45042822,Kelly Clarkson,Hear Me,"I'm ready now
I need you to see
I'm screaming for you to please
Turn my world upside down"
0.979121518,0.588707974,Sly & The Family Stone,Stand!,"Stand. stand, stand
Well at least in your mind if you want to be
Things to go through if you're going anywhere
They will try to make you crawl"
1.541256821,1.704164653,Sly & The Family Stone,Somebody'S Watching You,"
This is what you pay for what you need
The nicer the nice, the higher the price
The higher the price, the nicer the nice"
1.113742917,0.785372512,Sly & The Family Stone,Everyday People,"And scooby dooby dooby
And so on and so on
Different strokes
For different folks"
1.181053617,1.390730545,Sly & The Family Stone,Dance To The Music,"Dance to the music
So that the dancers just won't hide
Listen to the voices
Listen to me"
-0.568660733,-0.049222623,Mario Vazquez,Gallery,"In his gallery
Seeing you with him
It's just not fair
You're just another priceless work of art"
-1.220301074,0.644019875,Prefab Sprout,Bonny,"Bonny don't live at home (he don't live at home)
But Bonny don't live at home (he don't live at home)
(Save your speeches, flowers are for funerals)
All I stole and I took from you"
-1.268055286,-0.012808954,Prefab Sprout,When Love Breaks Down,"The things you do

To stop the truth from hurting you
They only serve to fool ourselves,"
0.373325221,-0.923150666,Toni Braxton,You're Makin' Me High,"When I'm around you baby
Oooh I get so high
I can touch the sky
You're makin' me high (high)"
0.249164268,-0.280149811,Toni Braxton,Breathe Again,"You won't see me again
That I shall never breathe again
And I can't get you out of my mind
And I can't get you out of my head"
