valence,arousal,artist_name,track_name
-0.68272508,0.316757792,Dark Tranquillity,Insanity's Crescendo
-1.400402676,1.538228949,Anorexia Nervosa,Stabat mater dolorosa
-1.935249857,-0.655809809,Jimmy Witherspoon,Ain't Nobody's Business
0.815392789,0.662457176,Uniting Nations,Out Of Touch
1.257460357,1.086515087,The Walkmen,Brandy alexander
0.373325221,-0.923150666,Duke Ellington,Caravan
1.309307788,1.482917047,Art Tatum,Tea For Two
1.071901131,0.846830181,Ella Fitzgerald,Lullaby Of Birdland
-1.056572345,0.736206378,cLOUDDEAD,Pop Song
-1.048385908,0.335195092,cLOUDDEAD,Son Of A Gun
1.541256821,1.704164653,Boney M,Rasputin
-0.981530011,0.62097325,Leona Lewis,Better in time
0.007664393,0.791518279,Leona Lewis,I Will Be
-0.569752258,0.031901499,Leona Lewis,Bleeding Love
-1.703300824,-0.628153858,Mario,How Do I Breathe
-1.056572345,0.736206378,Great Lake Swimmers,The Man With No Skin
0.449731961,-2.075481946,Great Lake Swimmers,I Will Never See the Sun
0.957291021,0.390506994,Great Lake Swimmers,Bodies and Minds
0.766274171,-2.112356547,Great Lake Swimmers,Falling Into the Sky
0.13500896,-1.503925631,Great Lake Swimmers,Long Into The Evening
-1.727860133,-1.10752367,MORS PRINCIPIUM EST,Fragile Flesh
-0.780962318,-0.789480237,The Bad Plus,Smells Like Teen Spirit
-1.935249857,-0.655809809,Charley Pride,I Can't Believe That You've Stopped Loving Me
-1.056572345,0.736206378,Kris Kristofferson,Me and Bobby McGee
-1.48226704,-0.44070797,Kris Kristofferson,Sunday Mornin' Comin' Down
-1.744233006,1.335418644,Diamond Rio,You're Gone
-1.171182455,-0.563623306,Savage Garden,Gunning Down Romance
-1.935249857,-0.655809809,Oasis,Don't Go Away
-1.700572012,1.842444407,Savage Garden,Break Me Shake Me
0.01585083,0.390506994,Savage Garden,I Knew I Loved You
1.071901131,0.846830181,Savage Garden,Crash And Burn
1.213799363,1.267815208,Savage Garden,The Animal Song
-0.779792827,0.180453463,Savage Garden,Two Beds And A Coffee Machine
-0.431674363,0.095510186,Savage Garden,I Don't Care
-1.487724664,-0.360813001,Rory Gallagher,Moonchild
0.815392789,0.662457176,Will Young,Love The One You're With
-1.51828736,0.45042822,Kelly Clarkson,Hear Me
0.979121518,0.588707974,Sly & The Family Stone,Stand!
1.541256821,1.704164653,Sly & The Family Stone,Somebody'S Watching You
1.113742917,0.785372512,Sly & The Family Stone,Everyday People
1.181053617,1.390730545,Sly & The Family Stone,Dance To The Music
-0.568660733,-0.049222623,Mario Vazquez,Gallery
-1.220301074,0.644019875,Prefab Sprout,Bonny
-1.268055286,-0.012808954,Prefab Sprout,When Love Breaks Down
0.373325221,-0.923150666,Toni Braxton,You're Makin' Me High
